time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003548,1.2907,0.0966,2.7517,3.041
0.007885,-1.0343,-0.6298,6.3837,6.498
0.024808,-2.0627,-2.7561,7.4790,8.233
0.045064,-1.5379,-3.2214,2.2678,4.229
0.065260,-1.4947,-2.6948,-1.8716,3.605
0.086810,-1.3717,-1.7855,-2.5314,3.388
0.105690,-0.9751,-1.1586,-1.6986,2.276
0.126305,-0.6943,-1.1005,-0.1842,1.314
0.143559,-0.1324,-0.6410,-0.7921,1.028
0.163803,0.3103,-0.9537,-1.9843,2.223
0.185651,-0.3005,-0.4637,-2.7411,2.796
0.206727,-0.6068,-0.2499,-2.7066,2.785
0.226783,-0.7216,-1.3585,-5.0649,5.293
0.247035,-1.3678,-1.1638,-5.4085,5.699
0.264580,-1.4498,0.4230,-2.1228,2.605
0.286315,0.2754,1.1120,0.0706,1.148
0.312066,1.7432,0.6319,-1.8034,2.587
0.325989,3.5077,0.3510,-4.4054,5.642
0.344254,3.2999,-0.0424,-4.7057,5.748
0.367662,1.9308,-0.0826,-1.6183,2.521
0.385518,-0.2739,-1.3949,-1.2890,1.919
0.407620,-3.3382,-2.2079,-0.9384,4.111
0.424353,-4.2136,-2.7969,3.4923,6.146
0.447957,-4.3167,-3.8630,4.3132,7.222
0.467643,-4.6988,-3.5092,1.0083,5.951
0.487025,-6.4078,-2.1010,20.5982,21.674
0.507866,-4.9984,-3.7647,6.8466,9.275
0.527256,-4.4165,-4.2609,2.8636,6.772
0.548086,-5.1890,-2.8974,-0.5199,5.966
0.568387,-3.8300,-5.2402,-11.3003,13.032
0.586047,-1.8531,-5.7170,-14.9509,16.114
0.607672,1.7471,-5.0307,-3.9461,6.628
0.625820,3.6110,-1.5246,3.0499,4.966
0.648392,3.7185,2.7949,5.8929,7.508
0.667810,3.8145,6.3536,14.2227,16.038
0.686590,4.7532,3.9461,4.0462,7.385
0.707978,3.3106,1.3500,-5.1686,6.285
0.728407,0.7838,2.2268,-0.4364,2.401
0.748980,-1.9952,3.9242,2.4808,5.053
0.769125,2.4466,4.8586,0.5589,5.468
0.789655,4.2191,4.2448,-2.1487,6.359
0.809276,3.1009,2.5052,-3.6695,5.418
0.830466,0.6214,2.3226,-0.4886,2.453
0.849436,1.0638,3.3941,1.6555,3.923
0.870311,3.4806,4.4426,-0.3942,5.657
0.887284,3.8773,3.5711,-0.5721,5.302
0.910017,4.7763,4.0972,3.8300,7.367
0.929788,0.6334,-0.8266,2.8385,3.023
0.950021,-5.8956,-4.8784,-3.6489,8.478
0.969821,-4.7636,-5.2755,-1.8887,7.355
0.992995,-0.6893,-3.8187,3.9147,5.512
1.009969,-0.8798,-2.6248,3.3616,4.355
1.030459,0.7926,-3.6000,1.8043,4.104
1.050229,-0.2616,-5.8185,0.1436,5.826
1.070875,-1.2767,-8.9825,-4.6179,10.180
1.089052,2.3156,-3.4544,-4.6294,6.223
1.110780,-0.9139,1.0758,-1.8711,2.344
1.129241,2.1400,5.8657,0.1878,6.247
1.149890,2.7034,3.3282,-2.6212,5.026
1.169946,-0.4068,0.2198,-2.7990,2.837
1.190047,-2.3176,0.2658,-1.1708,2.610
1.208925,-0.4223,2.8254,1.4602,3.208
1.230479,1.8682,6.2897,1.9993,6.859
1.249015,3.0435,5.7950,-0.3068,6.553
1.270018,2.3042,3.6032,-1.9629,4.706
1.290013,-6.8201,-4.0660,-4.1851,8.976
1.311566,-4.3100,-3.2329,2.8962,6.117
1.330451,-0.6320,-4.1798,2.2935,4.809
1.386133,1.1237,-3.2889,-0.4758,3.508
1.386574,0.3459,1.0567,0.2884,1.149
1.391443,-0.0556,3.3997,-0.3724,3.420
1.409450,-0.1348,2.5898,-0.1827,2.600
1.430988,-0.7191,1.2714,0.8002,1.666
1.449590,-1.1963,0.9380,1.5114,2.144
1.470632,-1.5624,-1.2152,1.3722,2.408
1.491188,0.4719,-2.6625,1.4146,3.052
1.511236,0.6344,-2.7563,-0.6284,2.897
1.530392,-3.4329,-0.7199,-0.3629,3.526
1.552324,-4.7015,-0.1049,1.7433,5.015
1.570310,-3.1245,-2.3119,0.3087,3.899
1.591267,-1.7447,-2.9066,-1.1899,3.593
1.610243,-1.6838,-1.9489,-2.3904,3.514
1.632007,-2.1463,-0.7259,-1.9266,2.974
1.650492,-0.7538,0.4099,0.3755,0.937
1.671859,0.3805,-1.6467,1.1084,2.021
1.690927,1.8864,-3.5163,-2.2688,4.590
1.710901,2.8086,-1.9821,-2.0426,3.999
1.730885,2.4067,-0.4503,-0.2292,2.459
1.751936,1.9286,3.3186,-0.5772,3.881
1.770919,2.0535,5.0702,0.5780,5.501
1.792132,1.6457,2.3384,1.6976,3.325
