frequencies,walking_type
1.1106780982073268,downhill
1.1103151862464173,downhill
1.0838663823738486,downhill
1.0797342192691062,downhill
1.0752688172043001,downhill
1.0656883298392756,downhill
1.0689990281827022,downhill
1.1375947995666316,downhill
1.1316872427983533,downhill
1.1373390557939906,downhill
1.082365364308341,downhill
1.1194029850746254,downhill
1.1348897535667994,downhill
1.1710794297352365,downhill
