time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011880,0.1717,-1.1355,-1.2402,1.690
0.031277,0.1250,-0.7441,-0.5264,0.920
0.053534,-0.5807,-0.9670,-0.3549,1.182
0.073000,-1.1932,-1.2757,-0.7541,1.903
0.092745,-0.9049,-1.3141,-1.7477,2.366
0.112453,-0.1183,-0.5892,-1.5571,1.669
0.134056,0.5859,-0.5700,-1.3075,1.542
0.150692,1.4275,-0.2587,-1.5537,2.126
0.177176,2.1015,-0.2653,-1.3071,2.489
0.192778,1.3612,-0.0895,-1.0195,1.703
0.213733,1.2122,-0.0859,-1.1958,1.705
0.231533,0.3990,-0.3827,-1.9688,2.045
0.252576,0.5910,0.2264,-2.1255,2.218
0.272689,1.5465,0.8513,-0.7353,1.912
0.292812,1.2027,0.3423,-0.5753,1.376
0.312456,-1.7301,-1.6135,-1.5542,2.831
0.332942,-5.0436,-3.1081,-1.9154,6.226
0.353975,-2.3372,0.3120,-2.0895,3.150
0.373359,7.2751,2.8593,1.3502,7.933
0.393904,5.0788,0.4234,-1.5870,5.338
0.413470,1.5106,-0.8207,-0.7867,1.891
0.431962,3.5878,0.7812,-0.8726,3.774
0.452785,2.1680,-1.2032,-2.2060,3.319
0.473076,-0.3732,0.0362,-1.9951,2.030
0.492855,-3.5388,-1.4477,1.7807,4.218
0.513477,-1.5768,-1.6970,-0.3515,2.343
0.533222,-0.5940,-1.4312,-1.7406,2.330
0.554315,-0.1096,-0.5763,-1.6777,1.777
0.573118,1.5362,1.3906,-0.2867,2.092
0.594691,2.4474,2.0968,-0.4474,3.254
0.613669,2.5680,2.4158,-0.6856,3.592
0.634783,4.3218,4.1960,-0.2878,6.031
0.653516,4.3974,5.2797,-2.8558,7.441
0.675035,-6.6403,-1.3826,-1.6223,6.974
0.693982,-2.5204,-1.9947,2.5544,4.106
0.714853,-0.0475,-5.5794,1.6753,5.826
0.732646,-1.1892,-7.3629,1.5406,7.616
0.755272,0.1758,-5.1043,0.7366,5.160
